Hisse,Adı,Sektör,Alt Grup,Açıklama,Beta,Fiyat/Kazanç Oranı,PD/DD Oranı,Fiyat/Satış Oranı,Kâr Marjı (%),Dolaşımdaki Lot,Toplam Gelir,Net Kâr,Son Kapanış Fiyatı,52 Hafta En Yüksek,52 Hafta En Düşük,Ortalama Hacim (10 gün),Temettü Verimi (%),Son Temettü Tarihi,Piyasa Değeri,Son Fiyat,1 Ay Değişim (%),3 Ay Değişim (%),6 Ay Değişim (%),1 Yıl Değişim (%),3 Yıl Değişim (%),5 Yıl Değişim (%),Volatilite
AGYO.IS,ATAKULE GMYO,Real Estate,REIT - Diversified,"Atakule Gayrimenkul Yatirim Ortakligi A.S. is based in Ankara, Turkey.",0.451,30.68,0.5593641,9.481997,308.627,263340000,213016096,657425152,7.62,12.19,6.52,5118580,1.15,Bilinmiyor,2019817856,7.670000076293945,-4.124999046,8.631680918653792,-2.53097664,-11.00653428,,333.8021214026007,0.6003719675473114
AHGAZ.IS,AHLATCI DOGALGAZ,Utilities,Utilities - Regulated Gas,"Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim A.S. engages in the wholesale, retail distribution, and sale of natural gas in Turkey. The company offers it service under the Aksaray, Antalya, Aydin, Denizli, Eregli, Erzincan, Karaman, Konya, and Kapadokya names. It also provides operational and consultancy services. The company was founded in 2003 and is headquartered in Istanbul, Turkey.",Bilinmiyor,11.451429,2.2554867,3.3633108,23.356001000000003,2600000000,15491878912,3618256128,20.18,21.26,8.66,9473957,0.090000004,Bilinmiyor,52104003584,,1.9847394634516564,43.14286368233817,34.60299207523406,87.91483790657495,,,
AHSGY.IS,AHES GMYO,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,3.0796702,Bilinmiyor,Bilinmiyor,,Bilinmiyor,Bilinmiyor,Bilinmiyor,21.62,30.3,17.36,3149327,,Bilinmiyor,4371899904,,3.4132830290666556,-12.76264821,-12.2848179,,,,
AKBNK.IS,AKBANK,Financial Services,Banks - Regional,"Akbank T.A.S., together with its subsidiaries, provides various banking products and services in Turkey and internationally. It operates through Consumer Banking and Private Banking; Commercial Banking, Corporate Banking, and SME Banking; and Treasury, Other, and Unallovated segments. The company's consumer banking services comprise deposit accounts, retail loans, commercial installment loans, credit cards, insurance products, and asset management services, as well as bank cards, investment funds trading, automatic payment, foreign currency trading, safe deposit box rental, cheques, money transfer, investment banking, and telephone and internet banking. It also offers services to large, medium, and small size corporate and commercial customers that include Turkish Lira (TL) and foreign currency denominated working capital loans financing for investments, foreign trade financing, derivative instruments for hedging purposes of foreign currency and interest risk, letters of credit, foreign currency trading, corporate finance, and deposit and cash management services, as well as project finance loans; and working capital management, delivering cash management services based on customers' requests, such as collection and payment services, and liquidity and information management. In addition, the company engages in treasury activities consisting of TL and foreign currency spot and forward transactions, treasury and government bonds, Eurobonds, and private sector bond transactions, as well as derivative trading activities; and marketing and pricing activities related to treasury products. Further, it provides financial leasing services, investment and pension funds management, and portfolio management, as well as offers payment services and issues electronic money. Akbank T.A.S. was incorporated in 1948 and is headquartered in Istanbul, Turkey.",0.72,6.4362845,1.3418587,2.3243582,36.120999999999995,5200000000,1.33336E+11,48161939456,59.3,70.75,34.86,68576989,3.1600002000000003,Bilinmiyor,3.0992E+11,59.599998474121094,0,-6.656225688,-11.24348902,63.492317459546754,,783.2254913377797,0.4601949799654966
AKCNS.IS,AKCANSA,Basic Materials,Building Materials,"Akçansa Çimento Sanayi ve Ticaret Anonim Sirketi, together with its subsidiaries, manufactures and sells cement, clinker, ready-mix concrete, and aggregates in Turkey and internationally. The company operates through Cement and Ready-Mix Concrete segments. It offers products under the Akçansa Çimento, Agregasa, and Betonsa brand names. The company provides port services. It sells its products online. The company was founded in 1967 and is headquartered in Istanbul, Turkey.",0.559,14.248577,1.833673,2.2453063,7.2989999999999995,191447008,14955556864,1091664768,176.4,197.3,128,682460,3.42,Bilinmiyor,33579804672,175.39999389648438,3.0552274039249876,9.419831913447354,20.54982398383806,32.17784320288774,,1813.7749695978403,0.4989401712501962
AKENR.IS,AK ENERJI,Utilities,Utilities - Regulated Electric,"Akenerji Elektrik Üretim A.S. engages in the generation, transmission, and trading of electricity in Turkey and internationally. The company operates hydroelectric, wind, and natural gas combined cycle power plants with a total installed capacity of 1,224 megawatts. It is also involved in natural gas trading business. The company was incorporated in 1989 and is headquartered in Istanbul, Turkey.",Bilinmiyor,1.6773212,0.40784606,0.50996745,30.409999999999997,729164032,15756668928,4791559680,11.02,28.68,3.99,9643810,,Bilinmiyor,8035387904,11.020000457763672,-4.090507595,-10.69691798,-28.11480422,171.42858652897425,,920.3703722100199,0.5919484521827987
AKFGY.IS,AKFEN GMYO,Real Estate,REIT - Hotel & Motel,"Akfen Real Estate Investment Trust Inc. was established in 2006 by transforming and restructuring Aksel Tourism Investments and Management Inc., which started its activities in 1997, into a real estate investment trust. Over the years, Akfen REIT, drawing its power from the deep-rooted background of Turkey's infrastructure builder Akfen Holding, has assumed a pioneering role in its sector with the experience it has gained in the field of project development and construction in economic city hotel management. Akfen REIT, which maintains its strategic partnership with Accor SA, one of the world's leading companies in the field of international chain hotel management, has realized numerous city hotel projects under the Ibis and Novotel brands as a result of this cooperation. Akfen REIT has reached a size of 20 hotels and 1 office building located in Turkey, Russia, and Turkish Republic of Northern Cyprus with leasing the hotels whose construction process was completed to Accor with long-term contracts. Akfen REIT generated regular and predictable rental income with this business model.",0.744,Bilinmiyor,0.52422357,8.778547,-31.328,3900000000,937398848,-293666912,2.1,2.88,1.66,40903380,,Bilinmiyor,8228999680,2.109999895095825,-5.381171433,0.47619004368509765,-9.051726043,26.34730235438353,,172.57599342613054,0.5821802524825982
AKFYE.IS,AKFEN YEN. ENERJI,Utilities,Utilities - Renewable,"Akfen Yenilenebilir Enerji engages in the production of renewable energy in Turkey. It operates 12 hydroelectric power plant facilities with a total installed power of 228.7 megawatts; 27 unlicensed solar power plants with a capacity of 25.95 megawatts and 8 licensed solar power plants with a power of 95.45 megawatts; and wind power plants with an installed capacity of 348.9 megawatts. The company was founded in 2009 and is based in Ankara, Turkey. Akfen Yenilenebilir Enerji operates as a subsidiary of Akfen Holding Anonim Sirketi.",Bilinmiyor,4.5571775,0.62753373,6.241008,116.311,1196960000,3592218112,4178142976,18.83,33.46,12.85,5682416,,Bilinmiyor,22419060736,,-2.447922927,-2.600104066,-34.09570904,45.306431678559235,,,
AKGRT.IS,AKSIGORTA,Financial Services,Insurance - Diversified,"Aksigorta A.S. provides various life and non-life insurance products and services to retail and business customers in Turkey. It operates through Fire, Transportation, Motor Own Damage, Motor Crafts Liability (Compulsory Traffic), Other Accident, Engineering, Agriculture, Health, and Life segments. The company offers motor vehicle, motor third party liability, fire, marine, accident, personal accident, engineering, and agriculture insurance. It also provides traffic, home and content, compulsory earthquake, site management, health, travel health, and premium travel insurance, as well as other insurance, such as yacht, paw, bodycard security, and credit card unemployment. The company sells its products through branches, independent agencies, brokers, and contracted institutions. Aksigorta A.S. was incorporated in 1960 and is headquartered in Istanbul, Turkey.",1.09,6.673077,2.4557679,0.838635,12.525,1612000000,13339867136,1670782848,6.99,9,4.95,16912809,,Bilinmiyor,11187279872,6.940000057220459,14.900663924695095,21.541156057026047,-21.1363647,38.80000114440918,,491.5899373208916,0.45341112977648823
AKMGY.IS,AKMERKEZ GMYO,Real Estate,REIT - Retail,"Akmerkez Gayrimenkul Yatirim Ortakligi A.S. operates as a real estate investment association in Turkey. It engages in the investment, ownership, development, and rental of real estate properties, primarily shopping centers. The company was formerly known as Akmerkez Gayrimenkul Yatirimi A.S. and changed its name to Akmerkez Gayrimenkul Yatirim Ortakligi A.S. in February 2005. Akmerkez Gayrimenkul Yatirim Ortakligi A.S. is based in Istanbul, Turkey.",0.054,10.977443,1.4367628,15.648042,94.859004,37264000,521523168,494712448,218.8,386,120,22650,3.9600000000000004,Bilinmiyor,8160816128,219,2.528086957950465,-1.793721973,-21.36445242,81.41922235148388,,1066.9022306489012,0.5841069867061652
AKSA.IS,AKSA,Consumer Cyclical,Textile Manufacturing,"Aksa Akrilik Kimya Sanayii A.S., together with its subsidiaries, manufactures and sells textiles, chemicals, and other industrial products in Turkey and internationally. It operates through three segments: Fibers, Energy, and Other. The company offers acrylic fibers, textile fibers, outdoor fibers, industrial fibers, acrylic filament yarns, modacrylic, and air jet Iplik fibers for clothes, home textiles, carpets, hand knitting, awnings, indoor and outdoor furniture, convertible cars with fabric roof, boat covers, filters, concrete production, car batteries, brake pads, upholstery, and protective clothing. It also provides raw and auxiliary materials, as well as intermediate substances; artificial, synthetic and natural fibers, carbon fibers, and filament and polymers; and equipment, machinery, and spare parts used in production, processing, and storage activity. In addition, the company engages in marketing and trading activities; generation and sale of electricity; start-up and rental of energy generation pants; and import and export of its products to domestic, foreign, and international branches, as well as rents real estate. Aksa Akrilik Kimya Sanayii A.S. was founded in 1968 and is headquartered in Yalova, Turkey.",0.667,16.23611,2.0559268,2.2194457,13.572000000000001,3884999936,20462608384,2777095936,11.44,12.666666,6.733333,23996269,3.65,Bilinmiyor,45415649280,11.68999958,29.45736352238933,22.79410733483704,5.791849580102816,77.97346511,,2317.0546070140995,0.44949109500368384
AKSEN.IS,AKSA ENERJI,Utilities,Utilities - Independent Power Producers,"Aksa Enerji Üretim A.S., an independent power producer, produces and sells electricity in Turkey, Asia, and Africa. The company produces energy from coal, fuel oil, biogas, natural gas, wind, and hydroelectricity. It operates approximately 30 power plants. The company also engage in construction, lending, and operation of electricity power plants. The company was founded in 1997 and is headquartered in Istanbul, Turkey. Aksa Enerji Üretim A.S. operates as a subsidiary of Kazanci Holding AS.",-0.104,13.664123,1.1405632,2.408723,17.681,1226339968,18226657280,3222609920,35.42,49.26,28.28,3755478,3.63,Bilinmiyor,43902971904,35.79999923706055,1.7045410827172651,-7.874424409,-18.56232943,27.665034660907512,,1844.1294200449431,0.4665030064280115
AKSGY.IS,AKIS GMYO,Real Estate,REIT - Diversified,Akis Gayrimenkul Yatirim A.S is based in Turkey.,0.409,5.426357,0.8355216,6.2750025,139.877,2415000064,2694022912,3768314112,6.99,7.57,3.22,3545764,0.41000000000000003,Bilinmiyor,16905000960,7,-0.849857553,11.228818503545517,12.903229279771292,115.55033225147508,,788.0850718873903,0.5064018807759504
AKSUE.IS,AKSU ENERJI,Utilities,Utilities - Renewable,"Aksu Enerji ve Ticaret Anonim Sirketi produces, distributes, and trades electricity in Turkey. It operates hydroelectric and solar power plants. The company was incorporated in 1985 and is headquartered in Isparta, Turkey.",0.74,53.52381,1.2873669,16.707169,214.54399999999998,66000000,44402496,95262896,11.17,16.81,10.1,1078608,,Bilinmiyor,741840000,11.239999771118164,-6.489190158,0.267615815,-6.333335241,6.779224916155707,,179.92941196030253,0.4615342509733343
AKYHO.IS,AKDENIZ YATIRIM HOLDING,Industrials,Security & Protection Services,"Akdeniz Yatirim Holding A.S. engages in the technology, renewable energy, defense, software and hardware, plastic, agriculture and animal husbandry, chlorine dioxide, environment, and waste systems sectors in Turkey. The company manufactures, imports, exports, and trades armor materials and vehicles; fire extinguishers, spray guns, steam, and sand blasting machines; manufactures plastic tubes, pipes, hoses, and fittings; and liquid pumps and elevators. It also engages in the operation of power plants and the trading of the generated electrical energy; and educational and training services for electricity production. In addition, the company involved in buying, manufacturing, and selling industrial, agricultural, commercial chemicals, and cleaning materials. Further, the company provides waste management and recycling services; and agriculture and livestock services. Additionally, it trades food, pulses, hardware, cleaning, and necessities; buys and sells real estate properties; manufactures and sells construction and hardware and building materials; and freight transportation activities. The company was formerly known as Akdeniz Güvenlik Hizmetleri A.S. and changed its name to Akdeniz Yatirim Holding A.S. in July 2020. Akdeniz Yatirim Holding A.S. was incorporated in 2013 and is based in Istanbul, Turkey.",Bilinmiyor,5.55102,0.40278396,7.7794957,68.893,252228000,88188256,60755808,2.82,11.25,2.47,13798468,,Bilinmiyor,686060160,2.7200000286102295,-15.7894733,-5.555558315,-66.41975431,-28.98172108,,211.25840904993808,0.7668380929252102
ALARK.IS,ALARKO HOLDING,Industrials,Conglomerates,"Alarko Holding A.S., together with its subsidiaries, operates in energy, construction, land development, industry and trade, tourism, investment, and agriculture fields. It engages in the energy production, distribution, and trading activities. The company is also involved in the contracting activities in the various projects, including airports, highways, subways, high-speed trains, light rail systems, energy facilities, pipelines, industrial plants, treatment plants, business centers, hotels, and hospitals. In addition, it engages in the development of residential spaces; and manufacturing heating, cooling, and air conditioning equipment. Further, the company operates hotels, sports and spa centers, and movie theaters. Additionally, it is involved in the greenhouse, fertilizer, food processing, and seed breeding activities; equity fund, private equity, and venture capital investment activities; and aviation and aircraft technical maintenance activities. The company was founded in 1954 and is headquartered in Istanbul, Turkey.",Bilinmiyor,15.150501,0.949019,5.958182,-14.007,434527008,6607409664,-925479168,90.95,145.4,81.7,3620731,2.7199999999999998,Bilinmiyor,39368146944,90.59999847,-7.17213126,-3.51438019,-11.60975759,7.331501681855913,,1523.084741401712,0.46556324384533776
ALBRK.IS,ALBARAKA TURK,Financial Services,Banks - Regional,"Albaraka Türk Katilim Bankasi A.S. provides various banking products and services in Turkey. The company offers profitable, current, savings, foreign currency, gold, housing, marriage, participation, Hajj/Umrah, and bill payment accounts; housing, vehicle, house rent, timesharing, timeshare vacation, Hajj and Umrah, dental health, education, dormitory, wedding organization, natural gas conversion, real estate, dealer, commercial cash and non-cash, and Sukuk and credit guaranteed financing products; leasing; and credit, business, and bank cards. It also provides private pension products; personal accident, credit life, education, vehicle, critical illness, health, travel health, agriculture, responsibility, fire, property, earthquake, ship and boat, motor, traffic, marine, employer financial liability, electronic device, construction assembly, and leasing all risk, highway transportation liability, and compulsory highways transportations seat personal accident; bill payment, money transfer, safe deposit box; and finance leasing services. In addition, the company offers corporate finance support, export and project financing, and credit invoice; non-cash credits, including letters of guarantee and credit, acceptance credit, and reference letters; and cash management services that comprise direct debiting, fuel management, and supplier payment and financing systems, tuition installment, cheques and promissory notes, salary, regular, and mass payment, mass FX payment, QR code cheque, and accounting integration. Further, the company provides foreign trade transaction services; and Internet, mobile, phone, and ATM banking services. It operates through local branches and foreign branches. Albaraka Türk Katilim Bankasi A.S. was incorporated in 1984 and is headquartered in Ümraniye, Turkey.",1.036,2.8490567,1.073587,1.0747491,36.943,2500000000,14049790976,5190705152,6.12,6.74,3.55,10958387,,Bilinmiyor,15100000256,6.039999961853027,-0.330032692,-5.031449134,2.5466909807747187,67.77778116273299,,417.39746599048965,0.45008080696105524
ALCAR.IS,ALARKO CARRIER,Industrials,Specialty Industrial Machinery,"Alarko Carrier Sanayi ve Ticaret A.S. manufactures and sells products and services in the areas of heating, cooling, air-conditioning, and water pressurization. The company offers various heating systems, including combi boilers, boilers, radiator underfloor heating pipes, hot water storage tanks, expansion tanks, and heating control equipment; air conditioner equipment, including multi air conditioners, commercial air conditioners, AC control equipment, and AC accessories; and commercial systems comprising air handling units, packaged rooftop units, liquid chillers, VRF systems, fancoil units, laminar flow units, cold room refrigeration units, and humidifiers. It also offers water pressurization systems, such as submersible pumps, centrifugal pumps, submersible motors, water boosters, and circulation pumps; heat pumps, photovoltaic panels, and hot water solar thermal collectors; and air purifiers. In addition, the company provides engineering services consisting of building management systems, energy efficiency consultancy, and after sales services. Alarko Carrier Sanayi ve Ticaret A.S. was founded in 1954 and is headquartered in Gebze, Turkey. Alarko Carrier Sanayi ve Ticaret A.S. (IBSE:ALCAR) operates as a subsidiary of Carrier Global Corporation.",1.352,Bilinmiyor,5.9310393,2.321883,-2.483,10800000,4539763712,-112706152,970.5,1939,846.5,36980,,Bilinmiyor,10540800000,976,-5.242718447,-3.366336634,-31.74825175,-0.863382428,,1745.6679426428232,0.621633187
ALCTL.IS,ALCATEL LUCENT TELETAS,Technology,Communication Equipment,"Alcatel Lucent Teletas Telekomünikasyon A.S. engages in the production and sale of telecommunication equipment in Turkey, Finland, and internationally. The company operates in two segments, Cloud and Network Services; and Network Infrastructures. It primarily offers telephone switchboards exchanges and transmission devices. The company was incorporated in 1983 and is based in Istanbul, Turkey.",0.203,Bilinmiyor,1.769476,1.1871817,0.9990000000000001,38700800,3869487616,38662620,118.9,164.5,68.7,725920,,Bilinmiyor,4593784832,118.69999694824219,-2.304529261,2.1514630513403112,14.354521636241946,64.72222010294595,,867.4001020361528,0.6182161656254344
ALFAS.IS,ALFA SOLAR ENERJI,Technology,Solar,"Alfa Solar Enerji Sanayi ve Ticaret A.S. engages in the manufacture and sale of solar panels. The company was incorporated in 2011 and is headquartered in Ankara, Turkey. Alfa Solar Enerji Sanayi ve Ticaret A.S. operates as a subsidiary of Alfa Kazan Enerji ve Çevre Yatirimlari A.S.",Bilinmiyor,282.72726,8.378233,4.446857,1.608,368000000,5147366400,82772552,61.9,123.5,46.84,5242172,1.2999999,Bilinmiyor,22889601024,62.20000076293945,17.24788248344921,16.697939311958862,-12.84284538,-19.46590245,,692.8437028928862,0.7425226292738867
ALGYO.IS,ALARKO GMYO,Real Estate,REIT - Diversified,"Alarko Real Estate Investment Company ""ALGYO"" was founded in 1996. It is the first Real Estate Investment Company that went public in Turkey. Alarko REIC, an affiliate of Alarko Holding operating in the field of real estate development sector, provides its investors with a fixed income with the rental income it derives from the real properties in its portfolio, and also possesses valuable lands for the purpose of development. The company's goodwill constantly increased starting from the date of its foundation with its real properties gaining value and its successful cash management efforts.",Bilinmiyor,4.3442984,0.36840048,22.44609,433.414,282529984,249349376,1080715264,19.79,27.5,16.74,2409268,0.13,Bilinmiyor,5596918784,19.809999465942383,-2.701380785,-5.486639641,-10.76577124,15.042920068883008,,644.2550969314955,0.45702473565315926
ALKA.IS,ALKIM KAGIT,Basic Materials,Paper & Paper Products,"Alkim Kagit Sanayi ve Ticaret AS engages in the manufacture and sale of woodfree offset, coated, and office papers primarily in Turkey. The company's woodfree offset papers include, offset white writing and printing papers, and copy quality offset white writing and printing papers; coated papers, which comprise glossy, matt, and one side coated papers, as well as label papers; and special papers, including envelope, blueprint, drawing, map, optical reader, kraft shopping bag, ivory, chamois, white kraft, and wall papers, as well as office papers under the Platinum Copy, Gold Copy, Best Copy, and All Copy brand names. It also exports its products to 32 countries. The company was founded in 1948 and is based in Izmir, Turkey. Alkim Kagit Sanayi ve Ticaret AS is a subsidiary of Alkim Alkali Kimya A.S.",Bilinmiyor,71.416664,0.95095426,3.6391296,8.776,735000000,1730894592,151899248,8.43,10.225,6.035,17749212,,Bilinmiyor,6298949632,8.569999694824219,30.839686187287363,28.293411902012817,23.220701492942535,34.748420045843844,,3763.0314378165417,0.5624165270045354
ALKIM.IS,ALKIM KIMYA,Basic Materials,Paper & Paper Products,"Alkim Alkali Kimya A.S., engages in the production and sale of chemical products in Turkey and internationally. It operates through three segments: Chemical Products, Paper, and Other. The company provides sodium sulphate, gypsum, potassium sulphate, anhydride sodium chloride, raw salt, refined salt, dried salt, washed salt, leonite fertilizer (magnesium-potassium sulphate), magnesium chloride solutions, magnesium sulphate, and crystal magnesium chloride, as well as magnesium oxide. It also offers paper pulp, bond papers, photocopy papers, coated papers, ivory papers, glass papers, wet strength label papers, soap packaging papers, envelope papers and blueprint papers, white kraft papers, cup papers, and special papers for religious books. In addition, the company provides Insurance intermediary services. Alkim Alkali Kimya A.S. was founded in 1948 and is based in Istanbul, Turkey.",0.01,17.782177,1.0501081,1.4794352,5.781,300000000,3641930240,210552960,18.05,22.47,14.83,5070791,,Bilinmiyor,5387999744,17.959999084472656,6.8411639206783486,7.803116740499148,5.647053438074448,9.779941408,,601.9340583730458,0.4436574028289762
